date,ols_rms_m,huber_rms_m
20070214,0.006831461835785877,0.006681414478419612
20070702,0.0063445256777617965,0.006405020980126316
20070817,0.009687875356455315,0.009927655029771566
20071002,0.008211784635164143,0.008427917812477361
20080102,0.005571275977168662,0.005384597802985009
20080217,0.00620486678261895,0.005958762277823342
20080519,0.007648201751727638,0.008632131481320636
20080704,0.010530541082855305,0.012488745192230179
20090104,0.005666483797171521,0.004318480120821946
20090219,0.005121759065632087,0.004360364160588467
20090822,0.004213129232045481,0.0034621593136972095
