ifgram_index,date12,original_rms_rad,homa_corrected_rms_rad,weighted_original_rms_rad,weighted_homa_corrected_rms_rad,valid_pixels
0,20070214_20070702,0.7527195685214683,0.7507206909316653,0.6338773070312901,0.6381842749367111,5987107
1,20070214_20070817,0.8790600183767299,0.8530576561346875,0.7358948654894168,0.7158016606869818,5987107
2,20070214_20071002,1.072024369716587,1.0049006545045138,0.8880265447101462,0.8163846465503553,5987107
3,20070214_20080102,0.929504555978937,0.8000518603414654,0.7976811872077049,0.6543883799754759,5987107
4,20070702_20070817,0.42797531520044546,0.4182130731652608,0.4183214968569283,0.40839972208860864,5987107
5,20070702_20080102,0.7894126700295226,0.697707091242024,0.7026997587700397,0.5971258764021866,5987107
6,20070817_20071002,0.543791130395952,0.5242655389251855,0.5260596262321867,0.5059120721217373,5987107
7,20070817_20080102,0.6565983797735536,0.6062454668262207,0.6052031556194835,0.5486646150306649,5987107
8,20070817_20080217,1.0143629937845984,0.9053891181314714,0.8680540105688539,0.7118570711894706,5987107
9,20071002_20080102,0.6557180034335853,0.6530065376257466,0.5925531714836335,0.5861433438159518,5987107
10,20071002_20080217,0.931207145479815,0.8947457814441802,0.7851106675128969,0.7233445060951205,5987107
11,20071002_20080519,1.2497377393062588,1.19391162046738,1.0940512761761814,0.998116479183511,5987107
12,20080102_20080217,0.5101414308424402,0.48497000901352705,0.46447585547283105,0.440041423482026,5987107
13,20080102_20080519,0.9345220650702948,0.8588005464491436,0.8425514156558321,0.7537422553670114,5987107
14,20080102_20080704,1.1710587568267095,1.1444478480586209,1.010073455741064,0.9332652122478365,5987107
15,20080217_20080519,0.7484724986637863,0.7324022863762985,0.7167134623131863,0.6997791509896548,5987107
16,20080217_20080704,1.4617559264427853,1.56197771211483,1.2318376221984022,1.1343099689327765,5987107
17,20080217_20090104,2.8141643684518636,3.1590647761029507,3.1318360550962145,2.894367550530223,5987107
18,20080519_20090104,2.6921771881655725,2.9940555087264755,3.103441093934837,2.6773508966254362,5987107
19,20080519_20090219,2.9891756173815143,3.103243787009409,2.970684840448824,2.5322871634759254,5987107
20,20080704_20090104,1.047536759365482,0.8768123774478802,0.9271643329908321,0.758717671180484,5987107
21,20080704_20090219,0.9080332337757866,0.8059997849027632,0.8212687212859975,0.7199185160392816,5987107
22,20080704_20090822,0.6494777983120897,0.6642102994953483,0.6045080233936438,0.6195736262291309,5987107
23,20090104_20090219,0.2940020790186358,0.2751637025101779,0.2818473212967841,0.26311071247776097,5987107
24,20090104_20090822,1.0791048793396067,0.9259111674125486,0.8843444360818595,0.7264935601164352,5987107
25,20090219_20090822,0.875518372517689,0.757970899061381,0.7320669145813364,0.611333102299782,5987107
