row_start,row_stop,runtime_s,valid_pixels
0,32,6.587613499999861,12517
32,64,11.065059199998359,22541
64,96,10.450488999998925,19761
96,128,10.40118209999855,20603
128,160,11.306667499997275,22797
160,192,11.851582299997972,24466
192,224,12.766743200001656,26102
224,256,12.487701699999889,26253
256,288,12.347893000001932,25343
288,320,13.883189899999707,30648
320,352,15.249016899997514,33573
352,384,15.650822699997661,33676
384,416,14.781362499998068,32969
416,448,17.976495899998554,40959
448,480,21.07804159999796,46644
480,512,22.577812700001232,49197
512,544,21.788950199999817,47773
544,576,22.038343899999745,47065
576,608,21.807886400001735,45758
608,640,23.098592099999223,49510
640,672,23.52082579999842,51894
672,704,24.08226139999897,50818
704,736,23.806451800002833,52001
736,768,23.58959369999866,50524
768,800,25.143459999999322,52786
800,832,24.804342199997336,52929
832,864,25.500747999998566,54053
864,896,23.937350600001082,49187
896,928,24.777488900002936,52636
928,960,24.859490599999845,53699
960,992,24.05780269999741,50275
992,1024,24.50976279999668,51466
1024,1056,23.38439870000002,51124
1056,1088,23.690507600000274,52710
1088,1120,23.379088200003025,52548
1120,1152,21.51084980000087,47147
1152,1184,22.153353999998217,47814
1184,1216,22.453053699999145,50054
1216,1248,22.426715099998546,49641
1248,1280,22.403458700002375,49634
1280,1312,23.50919480000084,51462
1312,1344,23.484592600001633,51069
1344,1376,22.47895100000096,49996
1376,1408,21.492348499999935,45896
1408,1440,22.82074400000056,50126
1440,1472,24.661440500000026,53620
1472,1504,26.070967599996948,53920
1504,1536,25.058168300001853,51822
1536,1568,26.17172120000032,55026
1568,1600,28.744395100002293,56126
1600,1632,29.15443249999953,58581
1632,1664,28.830760799999553,59026
1664,1696,30.43365889999768,59850
1696,1728,30.943323200001032,60700
1728,1760,31.130031599997892,61947
1760,1792,31.55200640000112,60903
1792,1824,32.175107999999454,62852
1824,1856,32.319295299999794,61885
1856,1888,32.56259979999959,62295
1888,1920,33.24140649999754,63367
1920,1952,32.24263589999828,63538
1952,1984,31.463070400001016,60352
1984,2016,31.846418899996934,61311
2016,2048,32.26440150000053,62782
2048,2080,30.930432799999835,59720
2080,2112,29.91583560000072,58738
2112,2144,32.30922680000003,61714
2144,2176,31.581049500000518,61395
2176,2208,30.596066000001883,58593
2208,2240,29.55064879999918,57480
2240,2272,30.543837299999723,59957
2272,2304,30.676836800001183,60655
2304,2336,30.511125100001664,60263
2336,2368,31.870256199999858,61128
2368,2400,29.50746070000241,57387
2400,2432,28.61338220000107,56196
2432,2464,30.25322049999886,55835
2464,2496,28.067396800001006,53116
2496,2528,28.115881400000944,52140
2528,2560,28.83069610000166,51620
2560,2592,28.786134500001936,53084
2592,2624,29.064714000000095,53593
2624,2656,30.525180399999954,56066
2656,2688,32.02619699999923,59030
2688,2720,31.49226869999984,59164
2720,2752,31.715197500001523,57999
2752,2784,32.67170819999956,60353
2784,2816,34.858234299998,62813
2816,2848,34.271917800000665,63156
2848,2880,33.746699200000876,62082
2880,2912,32.87077240000144,62254
2912,2944,32.283388800002285,61541
2944,2976,31.23448030000145,59174
2976,3008,29.460764100000233,57302
3008,3040,20.186341500000708,41178
3040,3072,3.4110932999974466,0
3072,3092,1.5754782000003615,0
