date,ols_rms_m,huber_rms_m
20070719,0.003995206604235096,0.004058883783567676
20070903,0.00601919404724193,0.004738193272393801
20080119,0.006393603461826934,0.0046078653861608525
20080305,0.005075649815977802,0.00457520270175726
20080721,0.006510252471785257,0.005068906649888074
20081021,0.006874334229913208,0.003743754203522216
20090121,0.006737019022783829,0.00579597536668513
20090308,0.011198599997097165,0.006402675148401586
20090724,0.018302610068328857,0.013090656663750014
20090908,0.02046556645820239,0.03358711016942905
